id,movies_name,year,timing_min,rating_10,votes,genre,language
tt9053354,Anthervedam,2018,,6.27478459199189,42.0,thriller,telugu
tt13605848,Enakkul Oru Kadhal,2009,,6.27478459199189,42.0,drama,tamil
tt1283527,Samsara Nauka,1989,,6.27478459199189,42.0,drama,kannada
tt0248294,Patthe Bapurao,1950,,6.27478459199189,42.0,drama,marathi
tt0352979,Vida Parayaanmathram,1988,,6.27478459199189,42.0,drama,malayalam
tt5278634,White,,,3.0,471.0,romance,malayalam
tt0283028,Sayahnam,2000,,7.0,10.0,drama,malayalam
tt14045622,Preetam,2021,,9.0,15.0,romance,marathi
tt3952870,Britto,2014,,7.5,12.0,drama,bengali
tt0252229,Amrutha Geetham,1982,,6.27478459199189,42.0,drama,malayalam
tt4960730,Pyar Ka Jigar,2003,,6.27478459199189,42.0,romance,hindi
tt0250747,Stalin Sivadas,1999,,2.7,47.0,"action, thriller",malayalam
tt0352287,Dheeran,1987,,6.27478459199189,42.0,drama,malayalam
tt0262446,Gopichand Jasoos,1982,,5.9,123.0,"comedy, thriller",hindi
tt0995840,Joy: The Real Love Story,2007,,2.1,1601.0,"drama, romance, thriller",hindi
tt0104098,Dharavi,1992,,7.1,282.0,"crime, drama",hindi
tt0280817,Kamadhenu,1976,,6.27478459199189,42.0,drama,malayalam
tt1593777,Sansarer Itikatha,1983,,6.27478459199189,42.0,drama,bengali
tt10160924,Shani Arshad: Adha Adha,,,6.27478459199189,42.0,"short, music",urdu
tt5771640,Noces,2016,,7.1,1360.0,drama,oriya
tt1441323,Madi Veetu Ezhai,1981,,6.27478459199189,42.0,drama,tamil
tt4007298,Khoobsurat Kali,2003,,6.27478459199189,42.0,thriller,hindi
tt0246877,Puthayal,1997,,5.9,51.0,drama,tamil
tt0320701,Urimai,1985,,6.27478459199189,42.0,drama,tamil
tt0266290,Babai Abbai,1984,,6.3,102.0,"comedy, romance",telugu
tt1217608,Yaar Meri Zindagi,2008,,4.8,39.0,"drama, family, musical",hindi
tt4912546,Denied: A Life Confined,,,6.27478459199189,42.0,documentary,nepali
tt1237894,Jhoomar,2007,,6.9,7.0,drama,oriya
tt3982578,Hututu,2014,,5.0,5.0,comedy,marathi
tt1663663,Parchhaeen,1989,,6.27478459199189,42.0,thriller,hindi
tt0231352,Chettathi,1965,,6.27478459199189,42.0,drama,kannada
tt0083063,Sharda,1981,,5.5,19.0,"drama, family",hindi
tt10902596,Satyanweshi Byomkesh,2019,,6.5,267.0,"crime, mystery, thriller",bengali
tt4271912,Mahan,1996,,6.0,8.0,"drama, family",bengali
tt2132465,Takht-O-Taj,1970,,6.27478459199189,42.0,drama,urdu
tt1537032,Kanthaswamy,2009,,5.0,1567.0,"action, crime",tamil
tt0432188,Vishwa Thulasi,2004,,6.1,32.0,"drama, musical, romance",tamil
tt7757972,Saakshyam,2018,,4.7,437.0,action,telugu
tt3908750,Circus Queen,1959,,6.27478459199189,42.0,action,hindi
tt4489064,"Haseena: Smart, Sexy, Dangerous",2006,,6.27478459199189,42.0,thriller,hindi
tt6759286,Seemana,1996,,8.9,8.0,"action, drama",nepali
tt6577668,Weather Report,2017,,6.27478459199189,42.0,drama,marathi
tt2522328,Shutter,2012,,7.7,1017.0,thriller,malayalam
tt2375283,Maithaanam,2011,,5.9,7.0,"drama, family, mystery",tamil
tt2317103,Sons of Ram,2012,,6.6,76.0,"animation, drama, musical",tamil
tt14231578,Duti Mon,2011,,6.27478459199189,42.0,drama,bengali
tt1575691,Swapna Lokam,1999,,6.27478459199189,42.0,romance,telugu
tt0376061,Pattalam,2003,,5.1,316.0,"action, comedy, drama",malayalam
tt14075090,The Twelve Thousand,2020,,6.27478459199189,42.0,"short, drama",nepali
tt13546104,Indulekha (Malayalam),,,6.27478459199189,42.0,drama,malayalam
tt0240945,Sukham Sukhakaram,1994,,6.27478459199189,42.0,drama,malayalam
tt0297378,Santa,1961,,6.27478459199189,42.0,drama,telugu
tt3207826,Mullamottum Munthiricharum,2012,,4.3,14.0,drama,malayalam
tt1577050,Fired,,,4.4,260.0,horror,hindi
tt0225515,Dillagi,1999,,5.3,1068.0,"drama, musical, romance",hindi
tt13606792,Nesi,2009,,6.27478459199189,42.0,drama,tamil
tt1530891,Kaana Kanmani,2009,,4.4,106.0,"drama, horror",malayalam
tt0186871,Bhagwaan Dada,1986,,4.3,167.0,"drama, thriller",hindi
tt10919164,A 2nd Hand Lover,2015,,6.27478459199189,42.0,romance,kannada
tt2791100,Sampoorna Sant Darshanam,1978,,6.27478459199189,42.0,drama,hindi
tt0273446,Avar Enakke Sontham,1977,,6.27478459199189,42.0,drama,tamil
tt1986813,Dharti ke God Mein,1971,,6.27478459199189,42.0,drama,hindi
tt1449278,Valar Pirai,1962,,6.27478459199189,42.0,drama,tamil
tt11086844,Shaitaan: A Vision of Madness,2018,,6.27478459199189,42.0,thriller,hindi
tt13724328,Haaru Hakkiyaneri,2010,,6.27478459199189,42.0,drama,kannada
tt0259494,Payal Ki Jhankar,1968,,4.4,12.0,"action, adventure, comedy",hindi
tt3417786,Juniors,2003,,5.2,13.0,romance,telugu
tt0299078,Palkon Ki Chhaon Mein,1977,,7.5,65.0,"drama, romance",hindi
tt0384918,Dil Ka Sathi Dil,1982,,6.7,18.0,romance,hindi
tt3454974,Mounamelanoyi,2002,,6.7,16.0,romance,telugu
tt0032951,Punar Milan,1940,,6.27478459199189,42.0,"drama, romance",hindi
tt5281434,Maa Shakti,,,8.4,15.0,history,malayalam
tt11766304,Let's Break Up,2020,,6.27478459199189,42.0,drama,kannada
tt7831920,HIRER SHIKAL,1988,,6.27478459199189,42.0,"drama, romance",bengali
tt6917966,Mohanlal,2018,,4.5,507.0,comedy,malayalam
tt0038475,Dharti Ke Lal,1950,,6.4,16.0,"drama, history",hindi
tt8925172,Angadipattu,,,6.27478459199189,42.0,comedy,malayalam
tt1092005,Golmaal Returns,2008,,5.1,7115.0,"comedy, crime, mystery",hindi
tt4003012,The Journey Within,2015,,7.0,35.0,"documentary, music",oriya
tt0305692,Janma Bhoomi,1995,,8.0,6.0,drama,nepali
tt7971756,Inspector Gullu,2018,,6.8,32.0,action,hindi
tt1857670,Deiva Thirumagal,2011,,8.1,4954.0,drama,tamil
tt5267296,Aaj Ka Inteqaam,1991,,6.27478459199189,42.0,thriller,hindi
tt2713666,Tuch Khari Gharchi Laxmi,2011,,6.27478459199189,42.0,drama,marathi
tt4384242,Pataas,2015,,6.7,758.0,"action, comedy",telugu
tt0390271,Monagadu,1976,,6.27478459199189,42.0,"crime, drama",telugu
tt0091320,Kala Dhanda Goray Log,1986,,5.7,35.0,"drama, family",hindi
tt7817140,Vishwaguru,2017,,6.27478459199189,42.0,biography,malayalam
tt10964430,Thappad,,,6.8,14626.0,drama,hindi
tt1351669,Talentime,2009,,6.8,183.0,drama,tamil
tt8298414,Maan Bhi Jao Sanam,,,6.27478459199189,42.0,comedy,urdu
tt4899880,Shah,2015,,8.5,1392.0,"biography, drama, sport",urdu
tt13004148,Harsha Varsha Jayaraj,2020,,8.0,6.0,"short, comedy",malayalam
tt1268309,Yeh Kaise Hua,1984,,6.27478459199189,42.0,drama,urdu
tt0271949,Adavukal Pathinettu,1978,,6.27478459199189,42.0,drama,malayalam
tt0254181,Bhale Papa,1971,,6.27478459199189,42.0,drama,telugu
tt0243513,Raakhi Ki Saugandh,1979,,6.27478459199189,42.0,"action, crime, drama",hindi
tt12258568,Khara Varasdar,1986,,6.27478459199189,42.0,drama,marathi
tt1645102,Lakhon Fasane,1961,,6.27478459199189,42.0,drama,urdu
tt2334779,Qissa: The Tale of a Lonely Ghost,2013,,6.7,896.0,"drama, fantasy, horror",punjabi
tt8364128,Amma I Love You,2018,,7.4,55.0,drama,kannada
tt8665904,Kahi Katai,2018,,6.27478459199189,42.0,family,nepali
tt11292062,Adhiktam,2020,,6.27478459199189,42.0,"action, comedy",hindi
tt0259479,Oru Vasantha Geetham,1994,,4.7,9.0,drama,tamil
tt0248112,Ishq Ishq,1977,,3.4,23.0,musical,urdu
tt13666960,Aata Hoti Geli Kuthe,1991,,6.27478459199189,42.0,comedy,marathi
tt3415566,123,2002,,5.7,59.0,comedy,telugu
tt0347920,Saajan Ki Saheli,1981,,5.5,44.0,"family, drama",hindi
tt8933650,Chanakya,2019,,5.4,492.0,"action, adventure, thriller",malayalam
tt0215898,Khaan Dost,1976,,5.6,38.0,"action, crime, drama",hindi
tt1977836,Kalsandhya,1997,,7.8,11.0,drama,assamese
tt13654756,Ippadikku En Kadhal,2007,,6.27478459199189,42.0,drama,tamil
